[0.001] [INFO ] [Game] (Game.cpp:37 in initialize) Logger online
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.224] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.224] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.227] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.228] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.228] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.228] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.228] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.228] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.229] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.230] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.230] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.231] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.232] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.233] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.233] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.233] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.233] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.235] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.236] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.238] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.238] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.238] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.238] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.238] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.239] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.240] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.240] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.240] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.241] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.241] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.241] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.241] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.242] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.243] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.243] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.243] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.244] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.245] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.245] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.245] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.245] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.245] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.246] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.248] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.248] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.248] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.248] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.249] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.250] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.250] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.251] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.251] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.252] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.253] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.253] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.253] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.255] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.256] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.256] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.256] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.256] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.258] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.258] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.258] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.258] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.259] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
